Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Licensed,official_video,Artist_Length,Album_Length,Title_Length,Description_Length
album,0.371,0.268,1.0,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,73201019.0,1.0,1.0,8,10,6,861
album,0.617,0.635,11.0,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,2118018686.0,1.0,1.0,8,22,62,882
album,0.557,0.442,5.0,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600.0,1082588109.0,1.0,1.0,8,27,44,1206
album,0.545,0.675,6.0,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867.0,786404613.0,1.0,1.0,8,13,47,1178
album,0.449,0.585,5.0,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719.0,1665814269.0,1.0,1.0,8,11,36,1086
album,0.491,0.693,0.0,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267.0,1828242112.0,1.0,1.0,8,21,48,1526
album,0.573,0.711,1.0,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,226198.0,254655970.0,1.0,1.0,8,20,45,4953
album,0.209,0.417,3.0,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533.0,566239229.0,1.0,1.0,8,3,35,1131
single,0.794,0.811,6.0,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,32310867.0,0.0,0.0,9,63,79,579
album,0.613,0.697,2.0,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,320357.0,432177586.0,1.0,1.0,9,9,42,3224
album,0.775,0.585,10.0,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,337560.0,606828966.0,1.0,1.0,9,22,56,1010
album,0.81,0.793,6.0,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,369627.0,32310867.0,0.0,0.0,9,22,79,579
album,0.956,0.795,7.0,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533.0,38218353.0,1.0,1.0,9,8,62,872
album,0.817,0.716,6.0,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693.0,121308880.0,1.0,1.0,9,9,61,2785
album,0.875,0.475,9.0,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667.0,77464307.0,1.0,1.0,9,9,47,1635
album,0.832,0.659,10.0,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893.0,195983803.0,1.0,1.0,9,22,53,1024
album,0.605,0.687,9.0,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345187.0,23984070.0,1.0,1.0,9,9,40,1030
album,0.644,0.664,9.0,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373.0,30079390.0,1.0,1.0,9,9,41,1747
album,0.556,0.864,3.0,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,1487186392.0,1.0,1.0,11,29,50,2869
album,0.496,0.863,9.0,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,185587.0,1928733776.0,1.0,1.0,11,7,41,2475
album,0.623,0.93,5.0,-5.285,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,205613.0,587927093.0,1.0,1.0,11,19,51,1898
single,0.687,0.793,2.0,-4.254,0.166,0.0603,0.0,0.582,0.751,107.045,205733.0,44436981.0,1.0,1.0,11,62,40,513
album,0.492,0.969,9.0,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,157333.0,154808291.0,1.0,1.0,11,29,55,2471
album,0.554,0.978,4.0,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,162600.0,378323695.0,1.0,1.0,11,7,42,2665
album,0.529,0.967,1.0,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,166373.0,135176149.0,1.0,1.0,11,19,49,1861
album,0.524,0.939,9.0,-3.994,0.113,0.00022,0.0,0.623,0.661,150.184,184867.0,240834555.0,1.0,1.0,11,29,48,3464
album,0.58,0.702,4.0,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,208960.0,374506972.0,1.0,1.0,11,29,48,2233
album,0.585,0.972,9.0,-4.45,0.0534,0.0143,0.0,0.0707,0.585,110.006,230253.0,353135986.0,1.0,1.0,11,13,49,2328
album,0.515,0.43,7.0,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640.0,763497849.0,1.0,1.0,9,11,17,402
album,0.255,0.393,5.0,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,229120.0,167847274.0,1.0,1.0,9,11,24,489
album,0.36,0.501,7.0,-9.129,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,264067.0,89246405.0,1.0,1.0,9,11,24,506
album,0.419,0.383,4.0,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,257480.0,80290.0,0.0,0.0,9,9,66,80
album,0.293,0.276,4.0,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,267187.0,10644157.0,1.0,1.0,9,11,23,703
album,0.531,0.61,11.0,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,318187.0,15335499.0,0.0,1.0,9,11,45,470
album,0.462,0.832,11.0,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,248893.0,26398730.0,1.0,1.0,9,11,37,409
album,0.463,0.229,2.0,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,290707.0,61340263.0,1.0,1.0,9,9,30,501
album,0.291,0.767,7.0,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,234800.0,15041854.0,1.0,1.0,9,9,16,483
album,0.516,0.342,4.0,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,255387.0,12205514.0,1.0,1.0,9,11,16,388
album,0.574,0.913,6.0,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400.0,274830901.0,1.0,1.0,5,15,40,642
album,0.502,0.89,4.0,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880.0,1224226060.0,1.0,1.0,5,15,38,2513
album,0.31,0.7,9.0,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,255493.0,915158054.0,1.0,1.0,5,13,38,666
album,0.532,0.767,7.0,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173.0,279117834.0,1.0,1.0,5,13,52,630
album,0.754,0.759,9.0,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,214667.0,240908491.0,1.0,1.0,5,12,51,786
album,0.389,0.873,4.0,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293.0,252038354.0,1.0,1.0,5,13,36,635
album,0.668,0.906,11.0,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933.0,852728.0,1.0,1.0,5,27,52,716
album,0.457,0.904,2.0,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427.0,172293392.0,1.0,1.0,5,13,44,1421
album,0.456,0.863,3.0,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227.0,102527.0,0.0,0.0,5,12,80,836
album,0.547,0.931,2.0,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507.0,18237531.0,1.0,1.0,5,9,42,727
album,0.744,0.766,0.0,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,289133.0,638267058.0,1.0,1.0,15,34,60,329
album,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,144690551.0,1.0,1.0,15,9,79,553
album,0.834,0.699,5.0,-3.222,0.178,0.111,0.0,0.131,0.809,94.086,272533.0,888076529.0,1.0,1.0,15,8,63,226
album,0.659,0.628,0.0,-8.685,0.179,0.186,0.0,0.105,0.262,94.05,219427.0,292211575.0,1.0,1.0,15,13,66,206
album,0.965,0.485,2.0,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523.0,662529115.0,1.0,1.0,15,11,62,3212
album,0.649,0.931,1.0,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,213067.0,755836314.0,1.0,1.0,15,15,52,158
single,0.66,0.942,4.0,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158571.0,2099141.0,1.0,1.0,15,14,58,1031
album,0.798,0.629,11.0,-6.857,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,284373.0,458724349.0,1.0,1.0,15,34,60,321
album,0.732,0.716,10.0,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,214855.0,1021503328.0,1.0,1.0,15,11,76,3861
album,0.872,0.789,1.0,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,236190.0,43226385.0,1.0,1.0,15,9,73,542
album,0.932,0.457,11.0,-9.62,0.0541,0.0173,0.0436,0.0414,0.884,117.002,294227.0,1300732161.0,1.0,1.0,15,8,46,3558
album,0.608,0.756,7.0,-2.675,0.176,0.0784,0.0,0.187,0.55,176.086,245507.0,545655.0,0.0,0.0,15,6,25,295
album,0.776,0.711,3.0,-9.03,0.0473,0.0242,0.000353,0.234,0.901,138.728,258400.0,905692299.0,1.0,1.0,15,8,45,884
album,0.853,0.981,8.0,-3.947,0.0751,0.247,0.468,0.306,0.595,118.193,257760.0,84652754.0,0.0,0.0,15,16,53,764
album,0.808,0.535,1.0,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627.0,301845823.0,1.0,1.0,15,12,48,2626
album,0.878,0.821,11.0,-9.875,0.089,0.126,0.0461,0.183,0.947,118.881,365467.0,349102050.0,1.0,1.0,15,12,65,3517
album,0.859,0.905,0.0,-5.539,0.129,0.205,0.00837,0.322,0.731,89.946,284160.0,978680025.0,1.0,1.0,15,43,76,97
album,0.831,0.921,5.0,-2.383,0.0582,0.153,0.00224,0.305,0.795,108.002,239227.0,504057332.0,1.0,1.0,15,9,52,1025
album,0.877,0.854,1.0,-4.523,0.147,0.0544,5.5e-05,0.144,0.54,114.472,298120.0,436325398.0,1.0,1.0,15,16,59,1251
album,0.775,0.719,7.0,-6.212,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,246027.0,343328494.0,1.0,1.0,15,6,77,943
album,0.778,0.547,2.0,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733.0,1518313784.0,1.0,1.0,4,20,43,1378
single,0.668,0.802,5.0,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,225789.0,10941241.0,1.0,1.0,4,27,51,581
single,0.7,0.709,7.0,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,202960.0,237232986.0,1.0,1.0,4,16,40,1529
album,0.674,0.628,2.0,-7.079,0.03,0.00144,0.0,0.0944,0.552,103.998,247907.0,534286492.0,1.0,1.0,4,20,27,1188
album,0.534,0.87,11.0,-3.078,0.0425,0.000334,0.0,0.241,0.462,126.019,215160.0,432775314.0,1.0,1.0,4,27,31,1509
album,0.491,0.588,1.0,-6.177,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,269600.0,339837769.0,1.0,1.0,4,16,37,622
album,0.473,0.592,5.0,-6.859,0.138,0.0528,0.0,0.131,0.292,159.7,138573.0,80575503.0,1.0,1.0,4,26,62,1533
single,0.636,0.888,8.0,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200.0,3309247.0,1.0,1.0,4,9,33,1078
album,0.688,0.734,9.0,-4.569,0.0274,0.00462,0.0,0.0756,0.46,140.004,208493.0,168736063.0,1.0,1.0,4,12,32,1126
album,0.457,0.823,9.0,-4.76,0.311,0.00144,0.0,0.108,0.578,192.205,230733.0,149977268.0,1.0,1.0,4,20,48,701
album,0.637,0.678,0.0,-3.798,0.266,0.209,0.0,0.156,0.254,84.039,250760.0,719661717.0,1.0,1.0,6,23,43,700
album,0.908,0.669,7.0,-2.827,0.0738,0.00286,0.0,0.237,0.662,112.238,290320.0,1590485349.0,1.0,1.0,6,15,42,371
album,0.949,0.661,5.0,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,777507160.0,1.0,1.0,6,23,61,258
album,0.802,0.755,4.0,-3.138,0.0564,0.0215,0.0,0.295,0.58,130.027,350320.0,139257221.0,1.0,1.0,6,15,46,117
album,0.548,0.847,1.0,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,1931315.0,0.0,0.0,6,15,63,3695
album,0.78,0.768,6.0,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,80.063,404107.0,623027280.0,1.0,1.0,6,23,37,217
album,0.749,0.925,10.0,-5.034,0.227,0.241,0.0,0.52,0.641,86.989,263373.0,2539156924.0,1.0,1.0,6,8,41,283
album,0.808,0.745,10.0,-5.26,0.342,0.145,0.0,0.292,0.829,165.995,210800.0,547039623.0,0.0,0.0,6,23,59,1658
album,0.668,0.824,5.0,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547.0,454015875.0,1.0,1.0,6,15,51,136
album,0.855,0.954,0.0,-1.19,0.264,0.529,0.0,0.205,0.668,114.635,248133.0,1727241246.0,1.0,1.0,6,8,19,175
album,0.647,0.822,5.0,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019,232720.0,128396799.0,1.0,1.0,17,7,67,1077
single,0.851,0.819,7.0,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041.0,3658044.0,1.0,1.0,17,15,72,1185
album,0.893,0.745,11.0,-3.105,0.0571,0.0642,0.0,0.0943,0.872,101.018,223413.0,673495248.0,1.0,1.0,17,22,82,531
single,0.877,0.56,7.0,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136.0,20392451.0,1.0,1.0,17,16,87,1494
album,0.81,0.733,9.0,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,229283.0,26641550.0,1.0,1.0,17,23,85,1495
single,0.679,0.516,0.0,-6.371,0.0452,0.199,0.0,0.0965,0.716,120.074,202008.0,121559320.0,1.0,1.0,17,13,54,380
album,0.859,0.563,1.0,-6.635,0.112,0.0541,0.0,0.0685,0.412,119.934,258789.0,35793144.0,1.0,1.0,17,13,70,716
